"","Date","Source","Site.ID","POC","Daily.Max.1.hour.NO2.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2021","AQS",360050110,1,25.1,"ppb",24,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"2","01/02/2021","AQS",360050110,1,27.5,"ppb",25,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"3","01/03/2021","AQS",360050110,1,19.4,"ppb",18,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"4","01/04/2021","AQS",360050110,1,20.8,"ppb",19,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"5","01/05/2021","AQS",360050110,1,28.6,"ppb",26,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"6","01/06/2021","AQS",360050110,1,24.6,"ppb",23,"IS 52",22,92,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"7","01/07/2021","AQS",360050110,1,19.4,"ppb",18,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"8","01/08/2021","AQS",360050110,1,25.8,"ppb",24,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"9","01/09/2021","AQS",360050110,1,19.1,"ppb",18,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"10","01/10/2021","AQS",360050110,1,39.6,"ppb",37,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"11","01/11/2021","AQS",360050110,1,49.1,"ppb",46,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"12","01/12/2021","AQS",360050110,1,42.6,"ppb",40,"IS 52",20,83,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"13","01/13/2021","AQS",360050110,1,37.4,"ppb",35,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"14","01/14/2021","AQS",360050110,1,45.5,"ppb",42,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"15","01/15/2021","AQS",360050110,1,29.5,"ppb",27,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"16","01/16/2021","AQS",360050110,1,25.2,"ppb",24,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"17","01/17/2021","AQS",360050110,1,20.4,"ppb",19,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"18","01/18/2021","AQS",360050110,1,28.4,"ppb",26,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"19","01/19/2021","AQS",360050110,1,30.5,"ppb",28,"IS 52",21,88,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"20","01/20/2021","AQS",360050110,1,35.9,"ppb",33,"IS 52",21,88,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"21","01/22/2021","AQS",360050110,1,37.5,"ppb",35,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"22","01/23/2021","AQS",360050110,1,11.5,"ppb",10,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"23","01/24/2021","AQS",360050110,1,18.7,"ppb",17,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"24","01/25/2021","AQS",360050110,1,34.8,"ppb",32,"IS 52",20,83,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"25","01/26/2021","AQS",360050110,1,23.5,"ppb",22,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"26","01/27/2021","AQS",360050110,1,32.4,"ppb",30,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"27","01/28/2021","AQS",360050110,1,21.8,"ppb",20,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"28","01/29/2021","AQS",360050110,1,14.2,"ppb",13,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"29","01/30/2021","AQS",360050110,1,21.5,"ppb",20,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"30","01/31/2021","AQS",360050110,1,26.5,"ppb",25,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"31","02/01/2021","AQS",360050110,1,23,"ppb",22,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"32","02/02/2021","AQS",360050110,1,18.5,"ppb",17,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"33","02/03/2021","AQS",360050110,1,20.8,"ppb",19,"IS 52",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"34","02/04/2021","AQS",360050110,1,50.7,"ppb",47,"IS 52",22,92,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
