Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
1/1/2021,360050110,25.1
1/2/2021,360050110,27.5
1/3/2021,360050110,19.4
1/4/2021,360050110,20.8
1/5/2021,360050110,28.6
1/6/2021,360050110,24.6
1/7/2021,360050110,19.4
1/8/2021,360050110,25.8
1/9/2021,360050110,19.1
1/10/2021,360050110,39.6
1/11/2021,360050110,49.1
1/12/2021,360050110,42.6
1/13/2021,360050110,37.4
1/14/2021,360050110,45.5
1/15/2021,360050110,29.5
1/16/2021,360050110,25.2
1/17/2021,360050110,20.4
1/18/2021,360050110,28.4
1/19/2021,360050110,30.5
1/20/2021,360050110,35.9
1/22/2021,360050110,37.5
1/23/2021,360050110,11.5
1/24/2021,360050110,18.7
1/25/2021,360050110,34.8
1/26/2021,360050110,23.5
1/27/2021,360050110,32.4
1/28/2021,360050110,21.8
1/29/2021,360050110,14.2
1/30/2021,360050110,21.5
1/31/2021,360050110,26.5
2/1/2021,360050110,23
2/2/2021,360050110,18.5
2/3/2021,360050110,20.8
2/4/2021,360050110,50.7
2/5/2021,360050110,54.1
2/6/2021,360050110,35.8
2/7/2021,360050110,45
2/8/2021,360050110,46.7
2/9/2021,360050110,50.6
2/10/2021,360050110,40.8
2/11/2021,360050110,25.4
2/12/2021,360050110,36
2/13/2021,360050110,36.5
2/14/2021,360050110,28.4
2/15/2021,360050110,34
2/16/2021,360050110,42.8
2/17/2021,360050110,44.8
2/18/2021,360050110,24.8
2/19/2021,360050110,28.3
2/20/2021,360050110,24.9
2/21/2021,360050110,43.7
2/22/2021,360050110,52.2
2/23/2021,360050110,38.2
2/24/2021,360050110,40.8
2/25/2021,360050110,29.9
2/26/2021,360050110,30.3
2/27/2021,360050110,35
2/28/2021,360050110,31.4
3/1/2021,360050110,45.1
3/2/2021,360050110,32.6
3/3/2021,360050110,38.6
3/4/2021,360050110,28.9
3/5/2021,360050110,18.4
3/6/2021,360050110,18.2
3/7/2021,360050110,17.2
3/8/2021,360050110,42.9
3/9/2021,360050110,40.6
3/10/2021,360050110,42.5
3/11/2021,360050110,59.8
3/12/2021,360050110,21.3
3/13/2021,360050110,22.1
3/14/2021,360050110,20.2
3/15/2021,360050110,19.5
3/16/2021,360050110,30.2
3/17/2021,360050110,33.3
3/18/2021,360050110,44.4
3/19/2021,360050110,22.3
3/20/2021,360050110,49.6
3/21/2021,360050110,46.8
3/22/2021,360050110,50.8
3/23/2021,360050110,36.2
3/24/2021,360050110,37.1
3/25/2021,360050110,36.9
3/26/2021,360050110,33.8
3/27/2021,360050110,23.2
3/28/2021,360050110,28.9
3/29/2021,360050110,18.1
3/30/2021,360050110,40.5
3/31/2021,360050110,34.3
4/1/2021,360050110,31.6
4/2/2021,360050110,13.5
4/3/2021,360050110,43
4/4/2021,360050110,32.6
4/5/2021,360050110,21.8
4/6/2021,360050110,46.2
4/7/2021,360050110,34.7
4/8/2021,360050110,47.2
4/9/2021,360050110,32.3
4/10/2021,360050110,31.9
4/11/2021,360050110,33.3
4/12/2021,360050110,23.1
4/13/2021,360050110,26.3
4/14/2021,360050110,36.8
4/15/2021,360050110,29.3
4/16/2021,360050110,25
4/17/2021,360050110,13.4
4/18/2021,360050110,45.1
4/19/2021,360050110,50.8
4/20/2021,360050110,39.1
4/21/2021,360050110,43.6
4/22/2021,360050110,14.5
