"","Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2021","AQS",360050110,1,0.022,"ppm",20,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"2","01/02/2021","AQS",360050110,1,0.021,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"3","01/03/2021","AQS",360050110,1,0.019,"ppm",18,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"4","01/04/2021","AQS",360050110,1,0.019,"ppm",18,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"5","01/05/2021","AQS",360050110,1,0.021,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"6","01/06/2021","AQS",360050110,1,0.024,"ppm",22,"IS 52",13,76,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"7","01/07/2021","AQS",360050110,1,0.025,"ppm",23,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"8","01/08/2021","AQS",360050110,1,0.023,"ppm",21,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"9","01/09/2021","AQS",360050110,1,0.03,"ppm",28,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"10","01/10/2021","AQS",360050110,1,0.026,"ppm",24,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"11","01/11/2021","AQS",360050110,1,0.004,"ppm",4,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"12","01/13/2021","AQS",360050110,1,0.014,"ppm",13,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"13","01/14/2021","AQS",360050110,1,0.008,"ppm",7,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"14","01/15/2021","AQS",360050110,1,0.026,"ppm",24,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"15","01/16/2021","AQS",360050110,1,0.02,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"16","01/17/2021","AQS",360050110,1,0.022,"ppm",20,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"17","01/18/2021","AQS",360050110,1,0.014,"ppm",13,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"18","01/19/2021","AQS",360050110,1,0.021,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"19","01/21/2021","AQS",360050110,1,0.017,"ppm",16,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"20","01/22/2021","AQS",360050110,1,0.025,"ppm",23,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"21","01/23/2021","AQS",360050110,1,0.029,"ppm",27,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"22","01/24/2021","AQS",360050110,1,0.033,"ppm",31,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"23","01/25/2021","AQS",360050110,1,0.02,"ppm",19,"IS 52",14,82,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"24","01/26/2021","AQS",360050110,1,0.021,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"25","01/27/2021","AQS",360050110,1,0.025,"ppm",23,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"26","01/28/2021","AQS",360050110,1,0.03,"ppm",28,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"27","01/29/2021","AQS",360050110,1,0.032,"ppm",30,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"28","01/30/2021","AQS",360050110,1,0.032,"ppm",30,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"29","01/31/2021","AQS",360050110,1,0.022,"ppm",20,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"30","02/01/2021","AQS",360050110,1,0.029,"ppm",27,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"31","02/02/2021","AQS",360050110,1,0.025,"ppm",23,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"32","02/03/2021","AQS",360050110,1,0.028,"ppm",26,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"33","02/04/2021","AQS",360050110,1,0.025,"ppm",23,"IS 52",13,76,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"34","02/05/2021","AQS",360050110,1,0.021,"ppm",19,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"35","02/06/2021","AQS",360050110,1,0.031,"ppm",29,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"36","02/07/2021","AQS",360050110,1,0.03,"ppm",28,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"37","02/08/2021","AQS",360050110,1,0.026,"ppm",24,"IS 52",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"38","02/09/2021","AQS",360050110,1,0.008,"ppm",7,"IS 52",13,76,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
