Date,Site.ID,Daily.Max.8.hour.Ozone.Concentration
1/1/2021,360050110,0.022
1/2/2021,360050110,0.021
1/3/2021,360050110,0.019
1/4/2021,360050110,0.019
1/5/2021,360050110,0.021
1/6/2021,360050110,0.024
1/7/2021,360050110,0.025
1/8/2021,360050110,0.023
1/9/2021,360050110,0.03
1/10/2021,360050110,0.026
1/11/2021,360050110,0.004
1/13/2021,360050110,0.014
1/14/2021,360050110,0.008
1/15/2021,360050110,0.026
1/16/2021,360050110,0.02
1/17/2021,360050110,0.022
1/18/2021,360050110,0.014
1/19/2021,360050110,0.021
1/21/2021,360050110,0.017
1/22/2021,360050110,0.025
1/23/2021,360050110,0.029
1/24/2021,360050110,0.033
1/25/2021,360050110,0.02
1/26/2021,360050110,0.021
1/27/2021,360050110,0.025
1/28/2021,360050110,0.03
1/29/2021,360050110,0.032
1/30/2021,360050110,0.032
1/31/2021,360050110,0.022
2/1/2021,360050110,0.029
2/2/2021,360050110,0.025
2/3/2021,360050110,0.028
2/4/2021,360050110,0.025
2/5/2021,360050110,0.021
2/6/2021,360050110,0.031
2/7/2021,360050110,0.03
2/8/2021,360050110,0.026
2/9/2021,360050110,0.008
2/10/2021,360050110,0.032
2/11/2021,360050110,0.031
2/12/2021,360050110,0.027
2/13/2021,360050110,0.025
2/14/2021,360050110,0.024
2/15/2021,360050110,0.016
2/16/2021,360050110,0.028
2/18/2021,360050110,0.02
2/19/2021,360050110,0.022
2/20/2021,360050110,0.037
2/21/2021,360050110,0.037
2/22/2021,360050110,0.02
2/23/2021,360050110,0.024
2/24/2021,360050110,0.031
2/25/2021,360050110,0.037
2/26/2021,360050110,0.032
2/27/2021,360050110,0.02
2/28/2021,360050110,0.026
3/1/2021,360050110,0.036
3/2/2021,360050110,0.036
3/3/2021,360050110,0.033
3/4/2021,360050110,0.035
3/5/2021,360050110,0.037
3/6/2021,360050110,0.035
3/7/2021,360050110,0.037
3/8/2021,360050110,0.038
3/9/2021,360050110,0.045
3/10/2021,360050110,0.033
3/11/2021,360050110,0.031
3/12/2021,360050110,0.044
3/13/2021,360050110,0.038
3/14/2021,360050110,0.041
3/15/2021,360050110,0.038
3/16/2021,360050110,0.027
3/17/2021,360050110,0.019
3/18/2021,360050110,0.03
3/19/2021,360050110,0.036
3/20/2021,360050110,0.036
3/21/2021,360050110,0.041
3/22/2021,360050110,0.043
3/23/2021,360050110,0.033
3/24/2021,360050110,0.02
3/25/2021,360050110,0.016
3/26/2021,360050110,0.044
3/27/2021,360050110,0.043
3/28/2021,360050110,0.033
3/29/2021,360050110,0.038
3/30/2021,360050110,0.043
3/31/2021,360050110,0.031
4/1/2021,360050110,0.033
4/2/2021,360050110,0.033
4/3/2021,360050110,0.04
4/4/2021,360050110,0.045
4/5/2021,360050110,0.047
4/6/2021,360050110,0.049
4/7/2021,360050110,0.036
4/8/2021,360050110,0.036
4/9/2021,360050110,0.028
4/10/2021,360050110,0.028
4/11/2021,360050110,0.034
4/12/2021,360050110,0.025
4/13/2021,360050110,0.042
4/14/2021,360050110,0.036
4/15/2021,360050110,0.029
4/16/2021,360050110,0.025
4/17/2021,360050110,0.034
4/18/2021,360050110,0.035
4/19/2021,360050110,0.036
4/20/2021,360050110,0.047
4/21/2021,360050110,0.035
4/22/2021,360050110,0.038
4/23/2021,360050110,0.049
4/24/2021,360050110,0.058
4/25/2021,360050110,0.05
4/26/2021,360050110,0.044
4/27/2021,360050110,0.046
4/28/2021,360050110,0.044
4/29/2021,360050110,0.033
4/30/2021,360050110,0.04
5/1/2021,360050110,0.039
5/2/2021,360050110,0.05
5/3/2021,360050110,0.035
5/4/2021,360050110,0.036
5/5/2021,360050110,0.022
5/6/2021,360050110,0.035
5/7/2021,360050110,0.038
5/8/2021,360050110,0.031
5/9/2021,360050110,0.037
5/10/2021,360050110,0.033
5/11/2021,360050110,0.043
5/12/2021,360050110,0.035
5/13/2021,360050110,0.043
5/14/2021,360050110,0.047
5/15/2021,360050110,0.048
5/16/2021,360050110,0.051
5/17/2021,360050110,0.057
5/18/2021,360050110,0.065
5/19/2021,360050110,0.061
5/20/2021,360050110,0.04
5/21/2021,360050110,0.041
5/22/2021,360050110,0.06
5/23/2021,360050110,0.042
5/24/2021,360050110,0.037
5/25/2021,360050110,0.04
5/26/2021,360050110,0.05
5/27/2021,360050110,0.044
5/28/2021,360050110,0.037
5/29/2021,360050110,0.03
5/30/2021,360050110,0.021
5/31/2021,360050110,0.026
6/1/2021,360050110,0.044
6/2/2021,360050110,0.038
6/3/2021,360050110,0.016
6/4/2021,360050110,0.032
6/5/2021,360050110,0.07
6/6/2021,360050110,0.074
6/7/2021,360050110,0.049
6/8/2021,360050110,0.038
6/9/2021,360050110,0.053
6/10/2021,360050110,0.05
6/11/2021,360050110,0.032
6/12/2021,360050110,0.031
6/13/2021,360050110,0.038
6/14/2021,360050110,0.028
6/15/2021,360050110,0.044
6/16/2021,360050110,0.038
6/17/2021,360050110,0.044
6/18/2021,360050110,0.066
6/19/2021,360050110,0.059
6/20/2021,360050110,0.06
6/21/2021,360050110,0.03
6/22/2021,360050110,0.023
6/23/2021,360050110,0.037
6/24/2021,360050110,0.043
6/25/2021,360050110,0.045
6/26/2021,360050110,0.018
6/27/2021,360050110,0.03
6/28/2021,360050110,0.05
6/29/2021,360050110,0.069
6/30/2021,360050110,0.061
7/1/2021,360050110,0.036
