"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/01/2021","AQS",360050080,3,9.8,"ug/m3 LC",41,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"2","01/02/2021","AQS",360050080,3,8,"ug/m3 LC",33,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"3","01/03/2021","AQS",360050080,3,9.8,"ug/m3 LC",41,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"4","01/04/2021","AQS",360050080,3,8,"ug/m3 LC",33,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"5","01/05/2021","AQS",360050080,3,8.4,"ug/m3 LC",35,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"6","01/06/2021","AQS",360050080,3,8.3,"ug/m3 LC",35,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"7","01/07/2021","AQS",360050080,3,7.1,"ug/m3 LC",30,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"8","01/08/2021","AQS",360050080,3,7.3,"ug/m3 LC",30,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"9","01/09/2021","AQS",360050080,3,7.4,"ug/m3 LC",31,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"10","01/10/2021","AQS",360050080,3,9,"ug/m3 LC",38,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"11","01/11/2021","AQS",360050080,3,12.5,"ug/m3 LC",52,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"12","01/12/2021","AQS",360050080,3,16.5,"ug/m3 LC",60,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"13","01/13/2021","AQS",360050080,3,15.7,"ug/m3 LC",59,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"14","01/14/2021","AQS",360050080,3,16.7,"ug/m3 LC",61,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"15","01/15/2021","AQS",360050080,3,13.3,"ug/m3 LC",54,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"16","01/16/2021","AQS",360050080,3,5.6,"ug/m3 LC",23,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"17","01/17/2021","AQS",360050080,3,8.3,"ug/m3 LC",35,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"18","01/18/2021","AQS",360050080,3,8.4,"ug/m3 LC",35,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"19","01/19/2021","AQS",360050080,3,8.5,"ug/m3 LC",35,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"20","01/20/2021","AQS",360050080,3,7.6,"ug/m3 LC",32,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"21","01/21/2021","AQS",360050080,3,8.8,"ug/m3 LC",37,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"22","01/22/2021","AQS",360050080,3,9.1,"ug/m3 LC",38,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"23","01/23/2021","AQS",360050080,3,6.1,"ug/m3 LC",25,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"24","01/24/2021","AQS",360050080,3,5.1,"ug/m3 LC",21,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"25","01/25/2021","AQS",360050080,3,6.9,"ug/m3 LC",29,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"26","01/26/2021","AQS",360050080,3,8.2,"ug/m3 LC",34,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"27","01/27/2021","AQS",360050080,3,8.1,"ug/m3 LC",34,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"28","01/28/2021","AQS",360050080,3,6.5,"ug/m3 LC",27,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
"29","01/29/2021","AQS",360050080,3,11.7,"ug/m3 LC",49,"MORRISANIA",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.83606,-73.92009
