Date,Site.ID,Daily.Mean.PM2.5.Concentration
1/1/2021,360050080,9.8
1/2/2021,360050080,8
1/3/2021,360050080,9.8
1/4/2021,360050080,8
1/5/2021,360050080,8.4
1/6/2021,360050080,8.3
1/7/2021,360050080,7.1
1/8/2021,360050080,7.3
1/9/2021,360050080,7.4
1/10/2021,360050080,9
1/11/2021,360050080,12.5
1/12/2021,360050080,16.5
1/13/2021,360050080,15.7
1/14/2021,360050080,16.7
1/15/2021,360050080,13.3
1/16/2021,360050080,5.6
1/17/2021,360050080,8.3
1/18/2021,360050080,8.4
1/19/2021,360050080,8.5
1/20/2021,360050080,7.6
1/21/2021,360050080,8.8
1/22/2021,360050080,9.1
1/23/2021,360050080,6.1
1/24/2021,360050080,5.1
1/25/2021,360050080,6.9
1/26/2021,360050080,8.2
1/27/2021,360050080,8.1
1/28/2021,360050080,6.5
1/29/2021,360050080,11.7
1/30/2021,360050080,9.8
1/31/2021,360050080,7.2
2/1/2021,360050080,5.7
2/2/2021,360050080,4.9
2/3/2021,360050080,6.3
2/4/2021,360050080,7
2/5/2021,360050080,10.9
2/6/2021,360050080,7.9
2/7/2021,360050080,10.1
2/8/2021,360050080,7.9
2/9/2021,360050080,9.9
2/10/2021,360050080,10.1
2/11/2021,360050080,9
2/12/2021,360050080,7.1
2/13/2021,360050080,5.2
2/14/2021,360050080,7.8
2/15/2021,360050080,7.1
2/16/2021,360050080,6.1
2/17/2021,360050080,6.1
2/18/2021,360050080,5.1
2/19/2021,360050080,6.4
2/20/2021,360050080,8.6
2/21/2021,360050080,8.6
2/22/2021,360050080,7.4
2/23/2021,360050080,10.1
2/24/2021,360050080,7.1
2/25/2021,360050080,5.9
2/26/2021,360050080,6.5
2/27/2021,360050080,5.2
2/28/2021,360050080,6.9
3/1/2021,360050080,5.1
3/2/2021,360050080,4.6
3/3/2021,360050080,7.8
3/4/2021,360050080,5.7
3/5/2021,360050080,3.7
3/6/2021,360050080,4.6
3/7/2021,360050080,4.3
3/8/2021,360050080,5.2
3/9/2021,360050080,9.2
3/10/2021,360050080,9.1
3/11/2021,360050080,19
3/12/2021,360050080,6
3/13/2021,360050080,3.3
3/14/2021,360050080,4.6
3/15/2021,360050080,3.4
3/16/2021,360050080,5.6
3/17/2021,360050080,7
3/18/2021,360050080,3.3
3/19/2021,360050080,4.1
3/20/2021,360050080,6.9
3/21/2021,360050080,8.9
3/22/2021,360050080,9
3/23/2021,360050080,6.5
3/24/2021,360050080,5.2
3/25/2021,360050080,7.4
3/26/2021,360050080,7
3/27/2021,360050080,5.3
3/28/2021,360050080,3.5
3/29/2021,360050080,4.4
3/30/2021,360050080,5.6
3/31/2021,360050080,5.2
4/1/2021,360050080,3.4
4/2/2021,360050080,2.5
4/3/2021,360050080,3.8
4/4/2021,360050080,7.1
4/5/2021,360050080,5.9
4/6/2021,360050080,6.4
4/8/2021,360050080,4.4
4/9/2021,360050080,3.2
4/10/2021,360050080,4.3
4/11/2021,360050080,2.9
4/12/2021,360050080,3.3
4/13/2021,360050080,2.9
4/14/2021,360050080,5.6
4/15/2021,360050080,4.8
4/16/2021,360050080,1.2
4/17/2021,360050080,1.4
4/18/2021,360050080,6.2
4/19/2021,360050080,7.6
4/20/2021,360050080,7.6
4/21/2021,360050080,4.5
4/22/2021,360050080,2.6
4/23/2021,360050080,4.2
4/24/2021,360050080,9.6
4/25/2021,360050080,7.4
4/26/2021,360050080,2.5
4/27/2021,360050080,6.3
4/28/2021,360050080,12.3
4/29/2021,360050080,13.8
4/30/2021,360050080,-0.2
5/1/2021,360050080,1.8
5/2/2021,360050080,7.3
5/3/2021,360050080,4.5
5/4/2021,360050080,3.9
5/5/2021,360050080,1.7
5/6/2021,360050080,0.1
5/7/2021,360050080,2.2
5/8/2021,360050080,2.6
5/9/2021,360050080,2.5
5/10/2021,360050080,1.4
5/11/2021,360050080,1.8
5/12/2021,360050080,1.4
5/13/2021,360050080,2.6
5/14/2021,360050080,5.1
5/15/2021,360050080,6.4
5/16/2021,360050080,6.9
5/17/2021,360050080,7.3
5/18/2021,360050080,7.3
5/19/2021,360050080,7.5
5/20/2021,360050080,4.4
5/21/2021,360050080,5.9
5/22/2021,360050080,9.8
5/23/2021,360050080,4.1
5/24/2021,360050080,1.2
5/25/2021,360050080,8
5/26/2021,360050080,9.5
5/27/2021,360050080,2.2
5/28/2021,360050080,1
5/29/2021,360050080,0.1
5/30/2021,360050080,0.1
5/31/2021,360050080,1.8
6/1/2021,360050080,9.1
6/2/2021,360050080,4.5
6/3/2021,360050080,4.4
6/4/2021,360050080,4.3
6/5/2021,360050080,8.3
6/6/2021,360050080,13
6/7/2021,360050080,14.9
6/8/2021,360050080,6.9
6/9/2021,360050080,4.6
6/10/2021,360050080,3.4
6/11/2021,360050080,3.5
6/12/2021,360050080,3.4
6/13/2021,360050080,3.9
6/14/2021,360050080,2.2
6/15/2021,360050080,2
6/16/2021,360050080,1.1
6/17/2021,360050080,1.2
6/18/2021,360050080,6.7
6/19/2021,360050080,8
6/20/2021,360050080,9.5
6/21/2021,360050080,9.6
6/22/2021,360050080,1.2
6/23/2021,360050080,1.3
6/24/2021,360050080,2.4
6/25/2021,360050080,0.9
6/26/2021,360050080,5.6
6/27/2021,360050080,8.1
6/28/2021,360050080,8.6
6/29/2021,360050080,8
6/30/2021,360050080,7.6
7/1/2021,360050080,4.1
7/2/2021,360050080,1.6
7/3/2021,360050080,-1.5
7/4/2021,360050080,28.2
7/5/2021,360050080,30.5
7/6/2021,360050080,11.4
7/7/2021,360050080,16.3
7/8/2021,360050080,6.2
7/9/2021,360050080,2.2
7/10/2021,360050080,5.5
7/11/2021,360050080,6.3
7/12/2021,360050080,5.1
7/13/2021,360050080,2.9
7/14/2021,360050080,5.5
7/15/2021,360050080,8.1
7/16/2021,360050080,12.4
7/17/2021,360050080,12.5
7/18/2021,360050080,0.3
7/19/2021,360050080,2.7
7/20/2021,360050080,53.8
7/21/2021,360050080,20.7
7/22/2021,360050080,2.8
7/23/2021,360050080,4.5
7/24/2021,360050080,5.8
7/25/2021,360050080,12.3
7/26/2021,360050080,23.7
7/27/2021,360050080,20.8
7/28/2021,360050080,9.7
7/29/2021,360050080,8.1
7/30/2021,360050080,3.7
7/31/2021,360050080,0.4
8/1/2021,360050080,3.3
8/2/2021,360050080,3.1
8/3/2021,360050080,3.8
8/4/2021,360050080,6.1
8/5/2021,360050080,4.8
8/6/2021,360050080,10
8/7/2021,360050080,7.7
8/8/2021,360050080,4.8
8/9/2021,360050080,4.3
8/10/2021,360050080,8.1
8/12/2021,360050080,9.5
8/13/2021,360050080,8.7
8/14/2021,360050080,6.1
8/15/2021,360050080,3.4
8/16/2021,360050080,5.8
8/17/2021,360050080,3.9
8/18/2021,360050080,6.1
8/19/2021,360050080,0.2
8/20/2021,360050080,1.4
8/21/2021,360050080,4.6
8/22/2021,360050080,1.6
8/23/2021,360050080,3.5
