"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/24/2024","AirNow","360850111","2","0.036","ppm","33","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"02/25/2024","AirNow","360850111","2","0.033","ppm","31","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"02/26/2024","AirNow","360850111","2","0.024","ppm","22","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"02/27/2024","AirNow","360850111","2","0.04","ppm","37","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"02/28/2024","AirNow","360850111","2","0.036","ppm","33","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"02/29/2024","AirNow","360850111","2","0.036","ppm","33","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/01/2024","AirNow","360850111","2","0.037","ppm","34","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/02/2024","AirNow","360850111","2","0.038","ppm","35","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/03/2024","AirNow","360850111","2","0.037","ppm","34","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/04/2024","AirNow","360850111","2","0.033","ppm","31","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/05/2024","AirNow","360850111","2","0.023","ppm","21","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/06/2024","AirNow","360850111","2","0.014","ppm","13","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/07/2024","AirNow","360850111","2","0.024","ppm","22","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/08/2024","AirNow","360850111","2","0.036","ppm","33","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/09/2024","AirNow","360850111","2","0.037","ppm","34","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/10/2024","AirNow","360850111","2","0.029","ppm","27","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/11/2024","AirNow","360850111","2","0.039","ppm","36","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/12/2024","AirNow","360850111","2","0.041","ppm","38","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/13/2024","AirNow","360850111","2","0.041","ppm","38","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/14/2024","AirNow","360850111","2","0.043","ppm","40","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/15/2024","AirNow","360850111","2","0.039","ppm","36","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/16/2024","AirNow","360850111","2","0.04","ppm","37","FRESHKILLS WEST","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
"03/17/2024","AirNow","360850111","2","0.036","ppm","33","FRESHKILLS WEST","22","92.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.58027","-74.19832"
