"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2024","AirNow","360810120","3","12.8","ug/m3 LC","52","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/02/2024","AirNow","360810120","3","9.1","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/03/2024","AirNow","360810120","3","10.2","ug/m3 LC","43","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/04/2024","AirNow","360810120","3","9.4","ug/m3 LC","39","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/05/2024","AirNow","360810120","3","8.9","ug/m3 LC","37","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/06/2024","AirNow","360810120","3","10","ug/m3 LC","42","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/07/2024","AirNow","360810120","3","8.4","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/08/2024","AirNow","360810120","3","9.8","ug/m3 LC","41","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/09/2024","AirNow","360810120","3","6.9","ug/m3 LC","29","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/10/2024","AirNow","360810120","3","8.9","ug/m3 LC","37","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/11/2024","AirNow","360810120","3","9.9","ug/m3 LC","41","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/12/2024","AirNow","360810120","3","9.1","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/13/2024","AirNow","360810120","3","7.8","ug/m3 LC","33","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/14/2024","AirNow","360810120","3","9.2","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/15/2024","AirNow","360810120","3","9.6","ug/m3 LC","40","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/16/2024","AirNow","360810120","3","10","ug/m3 LC","42","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/17/2024","AirNow","360810120","3","9.9","ug/m3 LC","41","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/18/2024","AirNow","360810120","3","11.4","ug/m3 LC","48","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/19/2024","AirNow","360810120","3","10.8","ug/m3 LC","45","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/20/2024","AirNow","360810120","3","8.2","ug/m3 LC","34","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/21/2024","AirNow","360810120","3","8.4","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/22/2024","AirNow","360810120","3","10.2","ug/m3 LC","43","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/23/2024","AirNow","360810120","3","15","ug/m3 LC","57","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/24/2024","AirNow","360810120","3","10.2","ug/m3 LC","43","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/25/2024","AirNow","360810120","3","12.8","ug/m3 LC","52","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/26/2024","AirNow","360810120","3","7.6","ug/m3 LC","32","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/27/2024","AirNow","360810120","3","7.9","ug/m3 LC","33","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/28/2024","AirNow","360810120","3","3","ug/m3 LC","13","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/29/2024","AirNow","360810120","3","7.2","ug/m3 LC","30","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/30/2024","AirNow","360810120","3","6","ug/m3 LC","25","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/31/2024","AirNow","360810120","3","6","ug/m3 LC","25","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/01/2024","AirNow","360810120","3","9.1","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
